symbol	gene_number	ensembl_gene	ensembl_trans	chebl_id	uniprot_gname	entrez_id	wikigene
SLC4A5	57835.2	ENSG00000188687	ENST00000394019		Q9BY07	57835.0	57835.0
SLC4A5	57835.1	ENSG00000188687	ENST00000394019		Q9BY07	57835.0	57835.0
SLC4A5	57835.4	ENSG00000188687	ENST00000394019		Q9BY07	57835.0	57835.0
OGDH	4967.1	ENSG00000105953	ENST00000439616		Q60597	4967.0	4967.0
DLD	1738.1	ENSG00000091140	ENST00000205402		P09622	1738.0	1738.0
PDHX	8050.1	ENSG00000110435	ENST00000533550		Q8BKZ9	8050.0	8050.0
DLST	1743.1	ENSG00000119689	ENST00000556460		Q9D2G2	1743.0	1743.0
OGDH	4967.2	ENSG00000105953	ENST00000439616		Q60597	4967.0	4967.0
ADH6	130.1	ENSG00000172955	ENST00000394897		P40394	130.0	130.0
ADH4	127.1	ENSG00000198099	ENST00000508393	CHEMBL2096668	P08319	127.0	127.0
ADH1B	125.1	ENSG00000196616	ENST00000305046	CHEMBL3284	P00325	125.0	125.0
ADH1A	124.1	ENSG00000187758	ENST00000209668	CHEMBL1970	P07327	124.0	124.0
ADH7	131.1	ENSG00000196344	ENST00000437033	CHEMBL3867	P40394	131.0	131.0
ADH1C	126.1	ENSG00000248144	ENST00000515683	CHEMBL3285	P00326	126.0	126.0
ADH5	128.1	ENSG00000197894	ENST00000296412	CHEMBL2096668	P11766	128.0	128.0
ADHFE1	137872.1	ENSG00000147576	ENST00000523113			137872.0	137872.0
COMT	1312.1	ENSG00000093010	ENST00000361682	CHEMBL2023	P21964	1312.0	1312.0
COMT	1312.2	ENSG00000093010	ENST00000361682	CHEMBL2023	P21964	1312.0	1312.0
SLC16A10	117247.1	ENSG00000112394	ENST00000368851		Q8TF71	117247.0	117247.0
ALDH3A1	218.1	ENSG00000108602	ENST00000468746		P47739	218.0	218.0
ALDH3B2	222.1	ENSG00000132746	ENST00000530069		P48448	222.0	222.0
ALDH1A3	220.1	ENSG00000184254	ENST00000561338		Q9JHW9	220.0	220.0
ALDH3B1	221.1	ENSG00000006534	ENST00000614849		P43353	221.0	221.0
HPD	3242.1	ENSG00000158104	ENST00000289004			3242.0	3242.0
ABAT	18.1	ENSG00000183044	ENST00000268251	CHEMBL2044	P80404	18.0	18.0
ABAT	18.2	ENSG00000183044	ENST00000268251	CHEMBL2044	P80404	18.0	18.0
KDSR	2531.1	ENSG00000119537	ENST00000406396		Q06136	2531.0	2531.0
HAAO	23498.1	ENSG00000162882	ENST00000294973		P46952	23498.0	23498.0
ECHDC2	55268.1	ENSG00000121310	ENST00000371522		Q86YB7	55268.0	55268.0
AADAT	51166.1	ENSG00000109576	ENST00000337664	CHEMBL2046259	Q8N5Z0	51166.0	51166.0
CCBL1	883.1	ENSG00000171097	ENST00000302586	CHEMBL3962	Q16773	883.0	883.0
AADAT	51166.2	ENSG00000109576	ENST00000337664	CHEMBL2046259	Q8N5Z0	51166.0	51166.0
DDC	1644.1	ENSG00000132437	ENST00000357936	CHEMBL1843	P20711	1644.0	1644.0
HIBCH	26275.1	ENSG00000198130	ENST00000399855			26275.0	26275.0
HIBCH	26275.2	ENSG00000198130	ENST00000399855			26275.0	26275.0
MAOA	4128.1	ENSG00000189221	ENST00000338702	CHEMBL1951	P21397	4128.0	4128.0
MAOB	4129.1	ENSG00000069535	ENST00000378069	CHEMBL2039	P27338	4129.0	4129.0
ACP2	53.1	ENSG00000134575	ENST00000256997		P11117	53.0	53.0
ACPP	55.1	ENSG00000014257	ENST00000336375	CHEMBL2633	P15309	55.0	55.0
ACP6	51205.1	ENSG00000162836	ENST00000609196			51205.0	51205.0
ACP5	54.1	ENSG00000102575	ENST00000218758		P13686	54.0	54.0
SLC25A13	10165.1	ENSG00000004864	ENST00000265631		Q9UJS0	10165.0	10165.0
SLC25A12	8604.1	ENSG00000115840	ENST00000422440		O75746	8604.0	8604.0
CSAD	51380.1	ENSG00000139631	ENST00000267085		Q9Y600	51380.0	51380.0
GAD1	2571.1	ENSG00000128683	ENST00000454603		Q05329	2571.0	2571.0
GAD2	2572.1	ENSG00000136750	ENST00000376261	CHEMBL2952	Q05329	2572.0	2572.0
GAD1	2571.2	ENSG00000128683	ENST00000454603		Q05329	2571.0	2571.0
GOT1	2805.1	ENSG00000120053	ENST00000370508	CHEMBL2189139	P17174	2805.0	2805.0
GOT2	2806.1	ENSG00000125166	ENST00000245206		P00505	2806.0	2806.0
ALDH4A1	8659.1	ENSG00000159423	ENST00000290597		P30038	8659.0	8659.0
ALDH4A1	8659.2	ENSG00000159423	ENST00000290597		P30038	8659.0	8659.0
SULT1A2	6799.1	ENSG00000197165	ENST00000534108		P50226	6799.0	6799.0
SULT1A1	6817.3	ENSG00000196502	ENST00000569554	CHEMBL1743291	P50225	6817.0	6817.0
SULT1A2	6799.2	ENSG00000197165	ENST00000534108		P50226	6799.0	6799.0
SULT1A3	6818.2	ENSG00000261052	ENST00000338971	CHEMBL1743293	P0DMM9	6818.0	6818.0
SULT1A1	6817.2	ENSG00000196502	ENST00000569554	CHEMBL1743291	P50225	6817.0	6817.0
SULT1A1	6817.1	ENSG00000196502	ENST00000569554	CHEMBL1743291	P50225	6817.0	6817.0
SULT1A1	6817.4	ENSG00000196502	ENST00000569554	CHEMBL1743291	P50225	6817.0	6817.0
SULT1A3	6818.3	ENSG00000261052	ENST00000338971	CHEMBL1743293	P0DMM9	6818.0	6818.0
SULT1A1	6817.5	ENSG00000196502	ENST00000569554	CHEMBL1743291	P50225	6817.0	6817.0
ABCC1	4363.1	ENSG00000278183	ENST00000399410	CHEMBL3004	O35379	4363.0	
SULT2A1	6822.1	ENSG00000105398	ENST00000222002	CHEMBL2077	Q06520	6822.0	6822.0
SLC19A1	6573.1	ENSG00000173638	ENST00000417954		P41438	6573.0	6573.0
SLC19A1	6573.2	ENSG00000173638	ENST00000417954		P41438	6573.0	6573.0
AOX1	316.1	ENSG00000138356	ENST00000374700	CHEMBL3257	Q06278	316.0	316.0
ALDH1B1	219.1	ENSG00000137124	ENST00000377698	CHEMBL4881	P30837	219.0	219.0
ALDH2	217.1	ENSG00000111275	ENST00000416293	CHEMBL1935	P05091	217.0	217.0
IDO1	3620.1	ENSG00000131203	ENST00000518804			3620.0	3620.0
SLC18A1	6570.1	ENSG00000036565	ENST00000265808	CHEMBL1838	P54219	6570.0	6570.0
SLC18A2	6571.1	ENSG00000165646	ENST00000298472	CHEMBL1893	Q05940	6571.0	6571.0
FOLR1	2348.5	ENSG00000110195	ENST00000312293	CHEMBL2121	P15328	2348.0	2348.0
FOLR1	2348.3	ENSG00000110195	ENST00000312293	CHEMBL2121	P15328	2348.0	2348.0
FOLR1	2348.1	ENSG00000110195	ENST00000312293	CHEMBL2121	P15328	2348.0	2348.0
FOLR1	2348.6	ENSG00000110195	ENST00000312293	CHEMBL2121	P15328	2348.0	2348.0
FOLR3	2352.1	ENSG00000110203	ENST00000622388			2352.0	2352.0
FOLR1	2348.4	ENSG00000110195	ENST00000312293	CHEMBL2121	P15328	2348.0	2348.0
FOLR1	2348.2	ENSG00000110195	ENST00000312293	CHEMBL2121	P15328	2348.0	2348.0
MAN2C1	4123.1	ENSG00000140400	ENST00000267978		Q9NTJ4	4123.0	4123.0
MAN2B1	4125.1	ENSG00000104774	ENST00000456935	CHEMBL4059	O00754	4125.0	4125.0
A4GALT	53947.1	ENSG00000128274	ENST00000401850		Q9NPC4	53947.0	53947.0
A4GNT	51146.1	ENSG00000118017	ENST00000236709		Q9UNA3	51146.0	51146.0
AACS	65985.1	ENSG00000081760	ENST00000316519		Q86V21	65985.0	65985.0
ABO	28.1	ENSG00000175164	ENST00000538324		P38649	28.0	28.0
ALDH9A1	223.1	ENSG00000143149	ENST00000354775		P49189	223.0	223.0
SLC36A1	206358.1	ENSG00000123643	ENST00000520111		Q8K4D3	206358.0	206358.0
SLC6A1	6529.1	ENSG00000157103	ENST00000287766	CHEMBL1903	P30531	6529.0	6529.0
SLC6A11	6538.1	ENSG00000132164	ENST00000254488	CHEMBL5208	P48066	6538.0	6538.0
SLC6A13	6540.1	ENSG00000010379	ENST00000343164	CHEMBL4535	Q9NSD5	6540.0	6540.0
SLC6A12	6539.1	ENSG00000111181	ENST00000359674	CHEMBL3715	P48065	6539.0	6539.0
ACAT1	38.1	ENSG00000075239	ENST00000265838		P24752	38.0	38.0
HADHB	3032.1	ENSG00000138029	ENST00000448743		Q99JY0	3032.0	3032.0
ACAA2	10449.1	ENSG00000167315	ENST00000285093		P42765	10449.0	10449.0
ACAT2	39.1	ENSG00000120437	ENST00000367048		Q9BWD1	39.0	39.0
HADHA	3030.1	ENSG00000084754	ENST00000380649		P40939	3030.0	3030.0
ACAA1	30.1	ENSG00000060971	ENST00000333167		P09110	30.0	30.0
ACACA	31.5	ENSG00000275176	ENST00000613687	CHEMBL3351	O00763	31.0	31.0
ACACA	31.4	ENSG00000275176	ENST00000613687	CHEMBL3351	O00763	31.0	31.0
ACACA	31.2	ENSG00000275176	ENST00000613687	CHEMBL3351	O00763	31.0	31.0
ACACB	32.1	ENSG00000076555	ENST00000338432	CHEMBL4829	O00763	32.0	32.0
ACACA	31.3	ENSG00000275176	ENST00000613687	CHEMBL3351	O00763	31.0	31.0
ACACA	31.1	ENSG00000275176	ENST00000613687	CHEMBL3351	O00763	31.0	31.0
SLC33A1	9197.1	ENSG00000169359	ENST00000392845		O00400	9197.0	9197.0
ACSS2	55902.1	ENSG00000131069	ENST00000488172			55902.0	55902.0
ACSS2	55902.2	ENSG00000131069	ENST00000488172			55902.0	55902.0
ACSS1	84532.1	ENSG00000154930	ENST00000323482		Q9NUB1	84532.0	84532.0
ACSS3	79611.1	ENSG00000111058	ENST00000549175		Q14DH7	79611.0	79611.0
RENBP	5973.1	ENSG00000102032	ENST00000393700		P51606	5973.0	5973.0
GNPNAT1	64841.1	ENSG00000100522	ENST00000216410		Q96EK6	64841.0	64841.0
NAGK	55577.1	ENSG00000124357	ENST00000455662		Q9UJ70	55577.0	55577.0
PGM3	5238.1	ENSG00000013375	ENST00000504780			5238.0	5238.0
PIGL	9487.1	ENSG00000108474	ENST00000581006			9487.0	9487.0
NAGS	162417.1	ENSG00000161653	ENST00000293404		Q8N159	162417.0	162417.0
ACHE	43.1	ENSG00000087085	ENST00000419336	CHEMBL2095233	P22303	43.0	43.0
ACHE	43.2	ENSG00000087085	ENST00000419336	CHEMBL2095233	P22303	43.0	43.0
SLC18A3	6572.1	ENSG00000187714	ENST00000374115	CHEMBL4767	Q16572	6572.0	6572.0
ACLY	47.1	ENSG00000131473	ENST00000352035	CHEMBL3720	P53396	47.0	47.0
ACLY	47.2	ENSG00000131473	ENST00000352035	CHEMBL3720	P53396	47.0	47.0
NANS	54187.1	ENSG00000095380	ENST00000210444		Q9NR45	54187.0	54187.0
SLC17A5	26503.1	ENSG00000119899	ENST00000355773		Q9NRA2	26503.0	26503.0
NANP	140838.1	ENSG00000170191	ENST00000304788	CHEMBL2401602	Q8TBE9	140838.0	140838.0
ACADSB	36.1	ENSG00000196177	ENST00000368869		P45954	36.0	36.0
ACADM	34.1	ENSG00000117054	ENST00000370841		P11310	34.0	34.0
ACAD10	80724.1	ENSG00000111271	ENST00000514615		Q8K370	80724.0	80724.0
ACADS	35.1	ENSG00000122971	ENST00000242592		P16219	35.0	35.0
ACAD11	84129.1	ENSG00000240303	ENST00000264990		Q709F0	84129.0	84129.0
ACAD8	27034.1	ENSG00000151498	ENST00000281182		Q9UKU7	27034.0	27034.0
ACAD9	28976.1	ENSG00000177646	ENST00000514643			28976.0	28976.0
IVD	3712.1	ENSG00000128928	ENST00000610693			3712.0	3712.0
ACOT12	134526.1	ENSG00000172497	ENST00000307624		Q8WYK0	134526.0	134526.0
ACOX1	51.1	ENSG00000161533	ENST00000293217		Q15067	51.0	51.0
ACOX1	51.2	ENSG00000161533	ENST00000293217		Q15067	51.0	51.0
FASN	2194.1	ENSG00000169710	ENST00000306749	CHEMBL4158	P49327	2194.0	2194.0
ACY1	95.1	ENSG00000243989	ENST00000491318		Q99JW2	95.0	95.0
IREB2	3658.1	ENSG00000136381	ENST00000560840		P48200	3658.0	3658.0
ACO1	48.1	ENSG00000122729	ENST00000379923		P21399	48.0	48.0
ACO2	50.1	ENSG00000100412	ENST00000216254		Q99798	50.0	50.0
ACOX2	8309.1	ENSG00000168306	ENST00000459701			8309.0	8309.0
ACP1	52.1	ENSG00000143727	ENST00000272067	CHEMBL4903	P24666	52.0	52.0
ACP1	52.3	ENSG00000143727	ENST00000272067	CHEMBL4903	P24666	52.0	52.0
ACP1	52.2	ENSG00000143727	ENST00000272067	CHEMBL4903	P24666	52.0	52.0
SLC25A20	788.1	ENSG00000178537	ENST00000430379		O43772	788.0	788.0
ASMT	438.1	ENSG00000196433	ENST00000381241		P46597	438.0	438.0
CYP2E1	1571.1	ENSG00000130649	ENST00000463117	CHEMBL5281	P05181	1571.0	1571.0
RWDD2A	112611.1	ENSG00000013392	ENST00000369724		Q9UIY3	112611.0	112611.0
ACYP2	98.1	ENSG00000170634	ENST00000606082			98.0	98.0
ACYP1	97.2	ENSG00000119640	ENST00000238618		P07311	97.0	97.0
ACYP1	97.1	ENSG00000119640	ENST00000238618		P07311	97.0	97.0
ADA	100.1	ENSG00000196839	ENST00000372874	CHEMBL1910	P00813	100.0	100.0
SLC29A2	3177.1	ENSG00000174669	ENST00000311161		Q61672	3177.0	3177.0
SLC29A3	55315.1	ENSG00000198246	ENST00000373189		Q9BZD2	55315.0	55315.0
AK7	122481.1	ENSG00000140057	ENST00000267584		Q96M32	122481.0	122481.0
AK1	203.1	ENSG00000106992	ENST00000373176		P00568	203.0	203.0
AK5	26289.1	ENSG00000154027	ENST00000354567		Q9Y6K8	26289.0	26289.0
AK5	26289.2	ENSG00000154027	ENST00000354567		Q9Y6K8	26289.0	26289.0
AK2	204.1	ENSG00000004455	ENST00000373449	CHEMBL4938	P54819	204.0	204.0
AK4	205.3	ENSG00000162433	ENST00000546702			205.0	205.0
AK4	205.1	ENSG00000162433	ENST00000546702			205.0	205.0
AK2	204.3	ENSG00000004455	ENST00000373449	CHEMBL4938	P54819	204.0	204.0
AK2	204.2	ENSG00000004455	ENST00000373449	CHEMBL4938	P54819	204.0	204.0
AK4	205.2	ENSG00000162433	ENST00000546702			205.0	205.0
AK3	50808.1	ENSG00000147853	ENST00000381809		Q9UIJ7	50808.0	50808.0
AMD1	262.1	ENSG00000123505	ENST00000368885	CHEMBL4181	P17707	262.0	262.0
ADCY6	112.1	ENSG00000174233	ENST00000550422	CHEMBL2097167	O43306	112.0	112.0
ADCY10	55811.1	ENSG00000143199	ENST00000545172	CHEMBL5854	Q96PN6	55811.0	55811.0
ADCY3	109.1	ENSG00000138031	ENST00000260600	CHEMBL2097167	O60266	109.0	109.0
ADCY6	112.2	ENSG00000174233	ENST00000550422	CHEMBL2097167	O43306	112.0	112.0
ADCY8	114.1	ENSG00000155897	ENST00000286355	CHEMBL2097167	P40145	114.0	114.0
ADCY2	108.1	ENSG00000078295	ENST00000338316	CHEMBL3760	Q08462	108.0	108.0
ADCY7	113.1	ENSG00000121281	ENST00000564965		P51829	113.0	113.0
ADCY1	107.1	ENSG00000164742	ENST00000432715		O88444	107.0	107.0
ADCY4	196883.1	ENSG00000129467	ENST00000310677	CHEMBL2097167	Q8NFM4	196883.0	196883.0
ADCY9	115.1	ENSG00000162104	ENST00000576936		P51830	115.0	115.0
ADCY5	111.1	ENSG00000173175	ENST00000462833	CHEMBL2097167	O95622	111.0	111.0
ADK	132.1	ENSG00000156110	ENST00000286621	CHEMBL3589	P55263	132.0	132.0
ADK	132.2	ENSG00000156110	ENST00000286621	CHEMBL3589	P55263	132.0	132.0
SLC29A1	2030.1	ENSG00000112759	ENST00000427851	CHEMBL1997	Q99808	2030.0	2030.0
SLC28A1	9154.2	ENSG00000156222	ENST00000338602	CHEMBL5551	O00337	9154.0	9154.0
SLC28A1	9154.1	ENSG00000156222	ENST00000338602	CHEMBL5551	O00337	9154.0	9154.0
SLC28A3	64078.1	ENSG00000197506	ENST00000376238	CHEMBL5707	Q9HAS3	64078.0	64078.0
SLC28A2	9153.1	ENSG00000137860	ENST00000347644	CHEMBL5780	O43868	9153.0	9153.0
NUDT5	11164.1	ENSG00000165609	ENST00000491614		Q9UKK9	11164.0	11164.0
NUDT9	53343.1	ENSG00000170502	ENST00000302174		Q9BW91	53343.0	53343.0
NUDT9	53343.3	ENSG00000170502	ENST00000302174		Q9BW91	53343.0	53343.0
NUDT9	53343.2	ENSG00000170502	ENST00000302174		Q9BW91	53343.0	53343.0
CD38	952.1	ENSG00000004468	ENST00000502843	CHEMBL4660	P28907	952.0	952.0
APRT	353.1	ENSG00000198931	ENST00000378364		P07741	353.0	353.0
CPT1B	1375.1	ENSG00000205560	ENST00000405237	CHEMBL2216739	Q92523	1375.0	1375.0
CPT1B	1375.3	ENSG00000205560	ENST00000405237	CHEMBL2216739	Q92523	1375.0	1375.0
CPT1B	1375.4	ENSG00000205560	ENST00000405237	CHEMBL2216739	Q92523	1375.0	1375.0
CPT1C	126129.1	ENSG00000169169	ENST00000594038			126129.0	126129.0
CPT1A	1374.1	ENSG00000110090	ENST00000540367	CHEMBL1293194	P50416	1374.0	1374.0
CPT1B	1375.2	ENSG00000205560	ENST00000405237	CHEMBL2216739	Q92523	1375.0	1375.0
CPT2	1376.1	ENSG00000157184	ENST00000371486	CHEMBL3238	P23786	1376.0	1376.0
PAPSS1	9061.1	ENSG00000138801			O43252	9061.0	9061.0
PAPSS2	9060.1	ENSG00000198682			O95340	9060.0	9060.0
ADSL	158.1	ENSG00000239900	ENST00000623632		P54822	158.0	158.0
ADSL	158.2	ENSG00000239900	ENST00000623632		P54822	158.0	158.0
ADSS	159.1	ENSG00000035687	ENST00000366535	CHEMBL4875	P30520	159.0	159.0
ADSSL1	122622.1	ENSG00000185100	ENST00000330877		Q8N142	122622.0	122622.0
ADSSL1	122622.2	ENSG00000185100	ENST00000330877		Q8N142	122622.0	122622.0
B3GNT4	79369.1	ENSG00000176383	ENST00000324189		Q9C0J1	79369.0	79369.0
B3GNT2	10678.1	ENSG00000170340	ENST00000301998		Q9NY97	10678.0	10678.0
B3GNT1	11041.1	ENSG00000174684	ENST00000311181		O43505	11041.0	11041.0
B3GNTL1	146712.1	ENSG00000277033	ENST00000572977			146712.0	
B3GNT8	374907.1	ENSG00000177191	ENST00000321702		Q7Z7M8	374907.0	374907.0
B3GNT7	93010.1	ENSG00000156966	ENST00000287590		Q8NFL0	93010.0	93010.0
B3GNT8	374907.2	ENSG00000177191	ENST00000321702		Q7Z7M8	374907.0	374907.0
B3GNT3	10331.1	ENSG00000179913	ENST00000599265			10331.0	10331.0
B3GNT2	10678.2	ENSG00000170340	ENST00000301998		Q9NY97	10678.0	10678.0
AMDHD2	51005.1	ENSG00000162066	ENST00000568263			51005.0	51005.0
AGMAT	79814.1	ENSG00000116771	ENST00000375826		Q9BSE5	79814.0	79814.0
AGPAT2	10555.1	ENSG00000169692	ENST00000371694	CHEMBL4772	O15120	10555.0	10555.0
AGPAT6	137964.1	ENSG00000158669	ENST00000396987		Q86UL3	137964.0	137964.0
AGPAT4	56895.1	ENSG00000026652	ENST00000320285		Q9NRZ5	56895.0	56895.0
AGPAT3	56894.2	ENSG00000160216	ENST00000291572		Q9NRZ7	56894.0	56894.0
AGPAT3	56894.1	ENSG00000160216	ENST00000291572		Q9NRZ7	56894.0	56894.0
AGPAT5	55326.1	ENSG00000155189	ENST00000285518		Q9NUQ2	55326.0	55326.0
AGPAT1	10554.1	ENSG00000228892	ENST00000452393	CHEMBL3583	Q99943	10554.0	10554.0
MBOAT2	129642.1	ENSG00000143797	ENST00000305997		Q6ZWT7	129642.0	129642.0
ALDH18A1	5832.1	ENSG00000059573	ENST00000371224		P54886	5832.0	5832.0
AGPS	8540.1	ENSG00000018510	ENST00000264167		O00116	8540.0	8540.0
AGXT2	64902.1	ENSG00000113492	ENST00000231420		Q9BYV1	64902.0	64902.0
ETNPPL	64850.1	ENSG00000164089	ENST00000296486		Q8TBG4	64850.0	64850.0
AGXT	189.1	ENSG00000172482	ENST00000307503		P21549	189.0	189.0
AHCY	191.1	ENSG00000101444	ENST00000217426	CHEMBL2664	P23526	191.0	191.0
AHCYL1	10768.2	ENSG00000168710	ENST00000369799		O43865	10768.0	10768.0
AHCYL1	10768.1	ENSG00000168710	ENST00000369799		O43865	10768.0	10768.0
HEXB	3074.1	ENSG00000049860	ENST00000511181		Q8IYN4	3074.0	3074.0
HEXA	3073.1	ENSG00000213614	ENST00000268097	CHEMBL3038485	P06865	3073.0	3073.0
ATIC	471.1	ENSG00000138363	ENST00000236959	CHEMBL2518	P31939	471.0	471.0
PAICS	10606.1	ENSG00000128050	ENST00000514888		P22234	10606.0	10606.0
SLC25A11	8402.1	ENSG00000108528	ENST00000225665		Q02978	8402.0	8402.0
SLC25A10	1468.1	ENSG00000183048	ENST00000574129		Q9QZD8	1468.0	1468.0
SLC13A3	64849.1	ENSG00000158296	ENST00000279027		Q8WWT9	64849.0	64849.0
SLC13A3	64849.2	ENSG00000158296	ENST00000279027		Q8WWT9	64849.0	64849.0
AKR1C1	1645.1	ENSG00000187134	ENST00000380872	CHEMBL5905	Q04828	1645.0	1645.0
AKR1C4	1109.1	ENSG00000198610	ENST00000380448	CHEMBL4999	P17516	1109.0	1109.0
AKR1D1	6718.1	ENSG00000122787	ENST00000432161		P51857	6718.0	6718.0
SLC1A5	6510.1	ENSG00000105281	ENST00000542575		Q15758	6510.0	6510.0
SLC1A4	6509.1	ENSG00000115902	ENST00000531327		P43007	6509.0	6509.0
SLC7A10	56301.1	ENSG00000130876	ENST00000253188		Q9NS82	56301.0	56301.0
SLC3A2	6520.1	ENSG00000168003	ENST00000377890		P08195	6520.0	6520.0
PROSC	11212.1	ENSG00000147471	ENST00000328195		O94903	11212.0	11212.0
ALAS2	212.1	ENSG00000158578	ENST00000396198		P22557	212.0	212.0
GCAT	23464.1	ENSG00000100116	ENST00000323205		O75600	23464.0	23464.0
ALAS1	211.2	ENSG00000023330	ENST00000469224		P13196	211.0	211.0
ALAS1	211.1	ENSG00000023330	ENST00000469224		P13196	211.0	211.0
SLC38A2	54407.1	ENSG00000134294	ENST00000256689		Q96QD8	54407.0	54407.0
SLC7A2	6542.1	ENSG00000003989	ENST00000494857		P52569	6542.0	6542.0
SLC6A14	11254.1	ENSG00000268104	ENST00000598581		Q9UN76	11254.0	11254.0
SLC7A1	6541.1	ENSG00000139514	ENST00000380752		P30825	6541.0	6541.0
SLC38A1	81539.1	ENSG00000111371	ENST00000398637		Q9H2H9	81539.0	81539.0
SLC38A4	55089.1	ENSG00000139209	ENST00000447411		Q969I6	55089.0	55089.0
SLC7A3	84889.1	ENSG00000165349	ENST00000374299		Q8WY07	84889.0	84889.0
SLC6A19	340024.1	ENSG00000174358	ENST00000515652		Q9D687	340024.0	340024.0
TMEM27	57393.1	ENSG00000147003	ENST00000380342		Q9HBJ8	57393.0	57393.0
ACE2	59272.1	ENSG00000130234	ENST00000252519	CHEMBL2096989	Q9BYF1	59272.0	59272.0
GPT	2875.1	ENSG00000167701	ENST00000528431	CHEMBL5929	P24298	2875.0	2875.0
GPT2	84706.1	ENSG00000166123	ENST00000340124		Q8TD30	84706.0	84706.0
SLC38A5	92745.1	ENSG00000017483	ENST00000595796		Q8WUX1	92745.0	92745.0
SLC38A3	10991.1	ENSG00000188338	ENST00000610458		Q9DCP2	10991.0	10991.0
ZADH2	284273.1	ENSG00000180011	ENST00000322342		Q8N4Q0	284273.0	284273.0
ZADH2	284273.2	ENSG00000180011	ENST00000322342		Q8N4Q0	284273.0	284273.0
AKR1A1	10327.1	ENSG00000117448	ENST00000372070	CHEMBL2246	P14550	10327.0	10327.0
AKR1A1	10327.2	ENSG00000117448	ENST00000372070	CHEMBL2246	P14550	10327.0	10327.0
ALDH1A1	216.1	ENSG00000165092	ENST00000297785	CHEMBL3577	P00352	216.0	216.0
ALDH1A2	8854.2	ENSG00000128918	ENST00000249750		O94788	8854.0	8854.0
ALDH7A1	501.1	ENSG00000164904	ENST00000409134		P49419	501.0	501.0
ALDH1A2	8854.1	ENSG00000128918	ENST00000249750		O94788	8854.0	8854.0
ALDH3A2	224.1	ENSG00000072210	ENST00000446398		P47740	224.0	224.0
ALDH1A2	8854.3	ENSG00000128918	ENST00000249750		O94788	8854.0	8854.0
ALPI	248.1	ENSG00000163295	ENST00000295463	CHEMBL5573	P09923	248.0	248.0
ALPPL2	251.1	ENSG00000163286	ENST00000295453	CHEMBL3402	P10696	251.0	251.0
ALPL	249.1	ENSG00000162551	ENST00000374840	CHEMBL5979	P05186	249.0	249.0
ALPP	250.1	ENSG00000163283	ENST00000392027	CHEMBL4458	P05187	250.0	250.0
ALOX12	239.1	ENSG00000108839	ENST00000251535	CHEMBL3687	P18054	239.0	239.0
ALOX12B	242.1	ENSG00000179477	ENST00000319144		O75342	242.0	242.0
ALOX15B	247.1	ENSG00000179593	ENST00000380183	CHEMBL2457	O15296	247.0	247.0
ALOX15	246.1	ENSG00000161905	ENST00000570836	CHEMBL2903	P16050	246.0	246.0
ALOX5	240.1	ENSG00000275565	ENST00000610656	CHEMBL215	P09917	240.0	240.0
AKR7A2	8574.1	ENSG00000053371	ENST00000235835		O43488	8574.0	8574.0
AKR1B1	231.1	ENSG00000085662	ENST00000285930	CHEMBL1900	P15121	231.0	231.0
AMACR	23600.1	ENSG00000242110	ENST00000335606		Q9UHK6	23600.0	23600.0
AMACR	23600.2	ENSG00000242110	ENST00000335606		Q9UHK6	23600.0	23600.0
